BIN,Company,OKED,Activity,KATO,Locality,KRP,Size
"АО ""СОКОЛОВСКО-САРБАЙСКОЕ ГОРНО-ОБОГАТИТЕЛЬНОЕ ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ""",920240000127,07102,Добыча железной руды открытым способом,392410000,Костанайская область Г. РУДНЫЙ,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""ОРКЕН""",050140001773,07102,Добыча железной руды открытым способом,352410000,Карагандинская область Г. ТЕМИРТАУ,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""ТУРАН-ТТТ""",160940013560,07102,Добыча железной руды открытым способом,471010000,Мангистауская область г. Актау,311,Крупные предприятия (от 1001 чел. до )
"ЛИСАКОВСКИЙ ФИЛИАЛ ТОО ""ОРКЕН""",050541006407,07102,Добыча железной руды открытым способом,392010000,Костанайская область Г. ЛИСАКОВСК,310,Крупные предприятия (от 501 до1000 чел.)
"ПРЕДСТАВИТЕЛЬСТВО ""ОРКЕН-АТАНСОР"" ТОО ""ОРКЕН""",090642000018,07102,Добыча железной руды открытым способом,114537102,Акмолинская область С. АТАНСОР,305,Крупные предприятия (от 251 до 500 чел.)
Наименование,БИН,ОКЭД,Вид деятельности предприятия,КАТО,Населенный пункт,КРП,Размер предприятия
"ФИЛИАЛ ТОО ""КОРПОРАЦИЯ КАЗАХМЫС"" - ПРОИЗВОДСТВЕННОЕ ОБЪЕДИНЕНИЕ ""КАРАГАНДАЦВЕТМЕТ""",060441000268,07292,Добыча и обогащение медной руды,351013100,Карагандинская область РАЙОН ИМ.КАЗЫБЕК БИ,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""КОМАРОВСКОЕ ГОРНОЕ ПРЕДПРИЯТИЕ""",120540007504,07298,Добыча драгоценных металлов и руд редких металлов,394420100,Костанайская область Г.ЖИТИКАРА,311,Крупные предприятия (от 1001 чел. до )
"ФИЛИАЛ АО ""ГОРНО-МЕТАЛЛУРГИЧЕСКИЙ КОНЦЕРН КАЗАХАЛТЫН""",060441012905,07298,Добыча драгоценных металлов и руд редких металлов,116839100,Акмолинская область П.ЖОЛЫМБЕТ,311,Крупные предприятия (от 1001 чел. до )
"АО ""ГОРНО - МЕТАЛЛУРГИЧЕСКИЙ КОНЦЕРН КАЗАХАЛТЫН""",990940003176,07298,Добыча драгоценных металлов и руд редких металлов,111810000,Акмолинская область Г.СТЕПНОГОРСК,311,Крупные предприятия (от 1001 чел. до )
"ФИЛИАЛ АО ""ГОРНО - МЕТАЛЛУРГИЧЕСКИЙ КОНЦЕРН КАЗАХАЛТЫН"" - РУДНИК БЕСТОБЕ",070541013057,07298,Добыча драгоценных металлов и руд редких металлов,111837100,Акмолинская область П.БЕСТОБЕ,311,Крупные предприятия (от 1001 чел. до )
"ФИЛИАЛ РУДНИК АКСУ АО ""ГОРНО- МЕТАЛЛУРГИЧЕСКИЙ КОНЦЕРН КАЗАХАЛТЫН""",061041010322,07298,Добыча драгоценных металлов и руд редких металлов,111833100,Акмолинская область П.АКСУ,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""АКТЮБИНСКАЯ МЕДНАЯ КОМПАНИЯ""",040340008667,07292,Добыча и обогащение медной руды,156040100,Актюбинская область С.КОКТАУ,311,Крупные предприятия (от 1001 чел. до )
"""ДОНСКОЙ ГОРНО-ОБОГАТИТЕЛЬНЫЙ КОМБИНАТ"" - ФИЛИАЛ АО ""ТНК"" ""КАЗХРОМ""",021041001594,07299,Добыча прочих руд цветных металлов,156020100,Актюбинская область Г.ХРОМТАУ,311,Крупные предприятия (от 1001 чел. до )
"ТОО ""NOVA ЦИНК""",970240000334,07293,Добыча и обогащение свинцово-цинковой руды,356435100,Карагандинская область П.АКЖАЛ,311,Крупные предприятия (от 1001 чел. до )
"ФИЛИАЛ АО ""АЛЮМИНИЙ КАЗАХСТАНА"" КРАСНООКТЯБРЬСКОЕ БОКСИТОВОЕ РУДОУПРАВЛЕНИЕ (КБРУ)",040341005787,07291,Добыча и обогащение алюминий-содержащего сырья,392035100,Костанайская область П.ОКТЯБРЬСКИЙ,311,Крупные предприятия (от 1001 чел. до )
